Hybrid Nano Particle,Temperature(K),Void Fraction,Base Fluid,Heat Transfer Coefficient(W/m^2K)
Al2O3+MWCNT,326,0.25,Water,1878
Al2O3+MWCNT,343,0.25,Water,2107
Al2O3+MWCNT,420,0.25,Water,1871
Al2O3+MWCNT,440,0.25,Water,2080
Al2O3+MWCNT,307,0.25,Water,2095
Al2O3+MWCNT,350,0.25,Water,2037
Al2O3+MWCNT,318,0.25,Water,1841
Al2O3+MWCNT,420,0.25,Water,1992
Al2O3+MWCNT,324,0.25,Water,2082
Al2O3+MWCNT,462,0.25,Water,2069
Al2O3+MWCNT,369,0.25,Water,2062
Al2O3+MWCNT,327,0.25,Water,1927
Al2O3+MWCNT,333,0.25,Water,1927
Al2O3+MWCNT,409,0.25,Water,2063
Al2O3+MWCNT,327,0.25,Water,1828
Al2O3+MWCNT,367,0.25,Water,1941
Al2O3+MWCNT,453,0.25,Water,1898
Al2O3+MWCNT,398,0.25,Water,2172
Al2O3+MWCNT,447,0.25,Water,2098
Al2O3+MWCNT,329,0.25,Water,1932
Al2O3+MWCNT,417,0.25,Water,1864
Al2O3+MWCNT,303,0.25,Water,2086
Al2O3+MWCNT,373,0.25,Water,1941
Al2O3+MWCNT,324,0.25,Water,1813
Al2O3+MWCNT,311,0.25,Water,2043
Al2O3+MWCNT,434,0.25,Water,1914
Al2O3+MWCNT,371,0.25,Water,1983
Al2O3+MWCNT,431,0.25,Water,1849
Al2O3+MWCNT,473,0.25,Water,2119
Al2O3+MWCNT,361,0.25,Water,2149
Al2O3+MWCNT,371,0.25,Water,1900
Al2O3+MWCNT,309,0.25,Water,2078
Al2O3+MWCNT,308,0.25,Water,1894
Al2O3+MWCNT,447,0.25,Water,1953
Al2O3+MWCNT,343,0.25,Water,2052
Al2O3+MWCNT,440,0.25,Water,1970
Al2O3+MWCNT,345,0.25,Water,2185
Al2O3+MWCNT,494,0.25,Water,1952
Al2O3+MWCNT,320,0.25,Water,1804
Al2O3+MWCNT,416,0.25,Water,2185
Al2O3+MWCNT,320,0.25,Water,2059
Al2O3+MWCNT,335,0.25,Water,1870
Al2O3+MWCNT,449,0.25,Water,2015
Al2O3+MWCNT,302,0.25,Water,1881
Al2O3+MWCNT,445,0.25,Water,1883
Al2O3+MWCNT,410,0.25,Water,1957
Al2O3+MWCNT,325,0.25,Water,1858
Al2O3+MWCNT,409,0.25,Water,2082
Al2O3+MWCNT,496,0.25,Water,1909
Al2O3+MWCNT,489,0.25,Water,2179
Al2O3+MWCNT,422,0.5,Water,2177
Al2O3+MWCNT,444,0.5,Water,2167
Al2O3+MWCNT,350,0.5,Water,2105
Al2O3+MWCNT,372,0.5,Water,2198
Al2O3+MWCNT,427,0.5,Water,2029
Al2O3+MWCNT,445,0.5,Water,2053
Al2O3+MWCNT,354,0.5,Water,1989
Al2O3+MWCNT,487,0.5,Water,1856
Al2O3+MWCNT,407,0.5,Water,2124
Al2O3+MWCNT,305,0.5,Water,2132
Al2O3+MWCNT,361,0.5,Water,2113
Al2O3+MWCNT,397,0.5,Water,2040
Al2O3+MWCNT,451,0.5,Water,2126
Al2O3+MWCNT,369,0.5,Water,1910
Al2O3+MWCNT,389,0.5,Water,2085
Al2O3+MWCNT,343,0.5,Water,1866
Al2O3+MWCNT,445,0.5,Water,2049
Al2O3+MWCNT,370,0.5,Water,2018
Al2O3+MWCNT,489,0.5,Water,2163
Al2O3+MWCNT,477,0.5,Water,2165
Al2O3+MWCNT,478,0.5,Water,2199
Al2O3+MWCNT,331,0.5,Water,2083
Al2O3+MWCNT,406,0.5,Water,1990
Al2O3+MWCNT,463,0.5,Water,1879
Al2O3+MWCNT,495,0.5,Water,1945
Al2O3+MWCNT,324,0.5,Water,1860
Al2O3+MWCNT,316,0.5,Water,2067
Al2O3+MWCNT,457,0.5,Water,1957
Al2O3+MWCNT,414,0.5,Water,1844
Al2O3+MWCNT,475,0.5,Water,1950
Al2O3+MWCNT,482,0.5,Water,1950
Al2O3+MWCNT,469,0.5,Water,1914
Al2O3+MWCNT,429,0.5,Water,2058
Al2O3+MWCNT,412,0.5,Water,1861
Al2O3+MWCNT,407,0.5,Water,1896
Al2O3+MWCNT,379,0.5,Water,1996
Al2O3+MWCNT,426,0.5,Water,1933
Al2O3+MWCNT,365,0.5,Water,1944
Al2O3+MWCNT,322,0.5,Water,1827
Al2O3+MWCNT,361,0.5,Water,1804
Al2O3+MWCNT,370,0.5,Water,1805
Al2O3+MWCNT,317,0.5,Water,1940
Al2O3+MWCNT,312,0.5,Water,1861
Al2O3+MWCNT,330,0.5,Water,2016
Al2O3+MWCNT,385,0.5,Water,2068
Al2O3+MWCNT,311,0.5,Water,2114
Al2O3+MWCNT,337,0.5,Water,2046
Al2O3+MWCNT,395,0.5,Water,2186
Al2O3+MWCNT,312,0.5,Water,2092
Al2O3+MWCNT,485,0.5,Water,2092
Al2O3+MWCNT,392,0.75,Water,1928
Al2O3+MWCNT,423,0.75,Water,1990
Al2O3+MWCNT,410,0.75,Water,2146
Al2O3+MWCNT,478,0.75,Water,2029
Al2O3+MWCNT,399,0.75,Water,2117
Al2O3+MWCNT,306,0.75,Water,2138
Al2O3+MWCNT,495,0.75,Water,1962
Al2O3+MWCNT,497,0.75,Water,1863
Al2O3+MWCNT,394,0.75,Water,2186
Al2O3+MWCNT,404,0.75,Water,2050
Al2O3+MWCNT,398,0.75,Water,2091
Al2O3+MWCNT,405,0.75,Water,2095
Al2O3+MWCNT,319,0.75,Water,2163
Al2O3+MWCNT,368,0.75,Water,2052
Al2O3+MWCNT,418,0.75,Water,1906
Al2O3+MWCNT,464,0.75,Water,1819
Al2O3+MWCNT,425,0.75,Water,2186
Al2O3+MWCNT,306,0.75,Water,2133
Al2O3+MWCNT,382,0.75,Water,1955
Al2O3+MWCNT,495,0.75,Water,2195
Al2O3+MWCNT,475,0.75,Water,2062
Al2O3+MWCNT,478,0.75,Water,2121
Al2O3+MWCNT,374,0.75,Water,2002
Al2O3+MWCNT,409,0.75,Water,2175
Al2O3+MWCNT,423,0.75,Water,1941
Al2O3+MWCNT,346,0.75,Water,2151
Al2O3+MWCNT,393,0.75,Water,1916
Al2O3+MWCNT,443,0.75,Water,1975
Al2O3+MWCNT,457,0.75,Water,2089
Al2O3+MWCNT,301,0.75,Water,2141
Al2O3+MWCNT,411,0.75,Water,2149
Al2O3+MWCNT,332,0.75,Water,1838
Al2O3+MWCNT,455,0.75,Water,2089
Al2O3+MWCNT,360,0.75,Water,2071
Al2O3+MWCNT,309,0.75,Water,1868
Al2O3+MWCNT,346,0.75,Water,1819
Al2O3+MWCNT,499,0.75,Water,2175
Al2O3+MWCNT,418,0.75,Water,2125
Al2O3+MWCNT,397,0.75,Water,2114
Al2O3+MWCNT,351,0.75,Water,2144
Al2O3+MWCNT,496,0.75,Water,2038
Al2O3+MWCNT,437,0.75,Water,2153
Al2O3+MWCNT,410,0.75,Water,1886
Al2O3+MWCNT,403,0.75,Water,2098
Al2O3+MWCNT,429,0.75,Water,1884
Al2O3+MWCNT,476,0.75,Water,1897
Al2O3+MWCNT,480,0.75,Water,1906
Al2O3+MWCNT,321,0.75,Water,1977
Al2O3+MWCNT,376,0.75,Water,2118
Al2O3+MWCNT,402,0.75,Water,2058
Al2O3+MWCNT,370,1.0,Water,2064
Al2O3+MWCNT,429,1.0,Water,1872
Al2O3+MWCNT,373,1.0,Water,1876
Al2O3+MWCNT,303,1.0,Water,2197
Al2O3+MWCNT,349,1.0,Water,1940
Al2O3+MWCNT,398,1.0,Water,2045
Al2O3+MWCNT,450,1.0,Water,2049
Al2O3+MWCNT,319,1.0,Water,1853
Al2O3+MWCNT,342,1.0,Water,2149
Al2O3+MWCNT,385,1.0,Water,2162
Al2O3+MWCNT,451,1.0,Water,1879
Al2O3+MWCNT,399,1.0,Water,1868
Al2O3+MWCNT,361,1.0,Water,2183
Al2O3+MWCNT,384,1.0,Water,1913
Al2O3+MWCNT,461,1.0,Water,2073
Al2O3+MWCNT,324,1.0,Water,2048
Al2O3+MWCNT,392,1.0,Water,1909
Al2O3+MWCNT,460,1.0,Water,1897
Al2O3+MWCNT,314,1.0,Water,1889
Al2O3+MWCNT,368,1.0,Water,1869
Al2O3+MWCNT,329,1.0,Water,2072
Al2O3+MWCNT,384,1.0,Water,1869
Al2O3+MWCNT,462,1.0,Water,1891
Al2O3+MWCNT,437,1.0,Water,1809
Al2O3+MWCNT,331,1.0,Water,1900
Al2O3+MWCNT,332,1.0,Water,2010
Al2O3+MWCNT,477,1.0,Water,1975
Al2O3+MWCNT,430,1.0,Water,1935
Al2O3+MWCNT,313,1.0,Water,1909
Al2O3+MWCNT,334,1.0,Water,2078
Al2O3+MWCNT,345,1.0,Water,1844
Al2O3+MWCNT,459,1.0,Water,1833
Al2O3+MWCNT,388,1.0,Water,2079
Al2O3+MWCNT,455,1.0,Water,1902
Al2O3+MWCNT,475,1.0,Water,2155
Al2O3+MWCNT,398,1.0,Water,2041
Al2O3+MWCNT,406,1.0,Water,2172
Al2O3+MWCNT,497,1.0,Water,2055
Al2O3+MWCNT,488,1.0,Water,2141
Al2O3+MWCNT,372,1.0,Water,2069
Al2O3+MWCNT,425,1.0,Water,1859
Al2O3+MWCNT,394,1.0,Water,1906
Al2O3+MWCNT,314,1.0,Water,1858
Al2O3+MWCNT,452,1.0,Water,1862
Al2O3+MWCNT,356,1.0,Water,1963
Al2O3+MWCNT,447,1.0,Water,1815
Al2O3+MWCNT,431,1.0,Water,1902
Al2O3+MWCNT,450,1.0,Water,2174
Al2O3+MWCNT,397,1.0,Water,1999
Al2O3+MWCNT,470,1.0,Water,2068
CuO+MWCNT,384,0.25,Water,835
CuO+MWCNT,389,0.25,Water,738
CuO+MWCNT,469,0.25,Water,1185
CuO+MWCNT,338,0.25,Water,1781
CuO+MWCNT,305,0.25,Water,1576
CuO+MWCNT,411,0.25,Water,1742
CuO+MWCNT,323,0.25,Water,1265
CuO+MWCNT,416,0.25,Water,1560
CuO+MWCNT,349,0.25,Water,1328
CuO+MWCNT,437,0.25,Water,1596
CuO+MWCNT,341,0.25,Water,1441
CuO+MWCNT,489,0.25,Water,1240
CuO+MWCNT,384,0.25,Water,895
CuO+MWCNT,394,0.25,Water,1942
CuO+MWCNT,411,0.25,Water,1740
CuO+MWCNT,387,0.25,Water,1935
CuO+MWCNT,408,0.25,Water,1741
CuO+MWCNT,410,0.25,Water,1442
CuO+MWCNT,380,0.25,Water,1501
CuO+MWCNT,434,0.25,Water,794
CuO+MWCNT,315,0.25,Water,1307
CuO+MWCNT,418,0.25,Water,723
CuO+MWCNT,416,0.25,Water,947
CuO+MWCNT,372,0.25,Water,1680
CuO+MWCNT,309,0.25,Water,1226
CuO+MWCNT,389,0.25,Water,1339
CuO+MWCNT,371,0.25,Water,1404
CuO+MWCNT,361,0.25,Water,971
CuO+MWCNT,372,0.25,Water,1398
CuO+MWCNT,473,0.25,Water,802
CuO+MWCNT,478,0.25,Water,1246
CuO+MWCNT,395,0.25,Water,1422
CuO+MWCNT,453,0.25,Water,1763
CuO+MWCNT,408,0.25,Water,780
CuO+MWCNT,459,0.25,Water,1278
CuO+MWCNT,486,0.25,Water,1943
CuO+MWCNT,442,0.25,Water,1888
CuO+MWCNT,307,0.25,Water,931
CuO+MWCNT,371,0.25,Water,1925
CuO+MWCNT,320,0.25,Water,757
CuO+MWCNT,395,0.25,Water,1917
CuO+MWCNT,482,0.25,Water,1685
CuO+MWCNT,407,0.25,Water,1768
CuO+MWCNT,438,0.25,Water,1296
CuO+MWCNT,477,0.25,Water,1996
CuO+MWCNT,490,0.25,Water,1651
CuO+MWCNT,330,0.25,Water,1443
CuO+MWCNT,434,0.25,Water,927
CuO+MWCNT,484,0.25,Water,1375
CuO+MWCNT,349,0.25,Water,1541
CuO+MWCNT,395,0.5,Water,1949
CuO+MWCNT,392,0.5,Water,981
CuO+MWCNT,472,0.5,Water,1345
CuO+MWCNT,445,0.5,Water,1702
CuO+MWCNT,401,0.5,Water,1688
CuO+MWCNT,304,0.5,Water,1895
CuO+MWCNT,407,0.5,Water,1297
